# Generated by: get_storage_usage.py
# Date generated: 2025-11-20 11:40:09
# Command: ./get_storage_usage.py --subscription us-prod400thor-prod --start-time 2025-11-03 00:00 --end-time 2025-11-07 23:59
# Subscription: 357baeec-2e3e-4bb3-9acc-4d82e2bf2dd0
# Time range: 2025-11-03T00:00:00 to 2025-11-07T23:59:00
#
Timestamp,StorageAccount,ResourceGroup,UsedCapacityGB,BlobCapacityGB,FileCapacityGB,TableCapacityGB,QueueCapacityGB
2025-11-03T09:00:00Z,hpccqqcxgdata10,app-prod400thor-prod-eastus,222449.90,,,,
2025-11-03T10:00:00Z,hpccqqcxgdata10,app-prod400thor-prod-eastus,222449.92,,,,
2025-11-03T11:00:00Z,hpccqqcxgdata10,app-prod400thor-prod-eastus,222449.92,,,,
2025-11-03T12:00:00Z,hpccqqcxgdata10,app-prod400thor-prod-eastus,222449.95,,,,
2025-11-03T13:00:00Z,hpccqqcxgdata10,app-prod400thor-prod-eastus,222449.95,,,,
2025-11-03T14:00:00Z,hpccqqcxgdata10,app-prod400thor-prod-eastus,222449.94,,,,
2025-11-03T15:00:00Z,hpccqqcxgdata10,app-prod400thor-prod-eastus,222449.94,,,,
2025-11-03T16:00:00Z,hpccqqcxgdata10,app-prod400thor-prod-eastus,222449.97,,,,
2025-11-03T17:00:00Z,hpccqqcxgdata10,app-prod400thor-prod-eastus,222403.46,,,,
2025-11-03T18:00:00Z,hpccqqcxgdata10,app-prod400thor-prod-eastus,222403.46,,,,
2025-11-03T19:00:00Z,hpccqqcxgdata10,app-prod400thor-prod-eastus,222403.51,,,,
2025-11-03T20:00:00Z,hpccqqcxgdata10,app-prod400thor-prod-eastus,222403.51,,,,
2025-11-03T21:00:00Z,hpccqqcxgdata10,app-prod400thor-prod-eastus,222403.56,,,,
2025-11-03T22:00:00Z,hpccqqcxgdata10,app-prod400thor-prod-eastus,222403.56,,,,
2025-11-03T23:00:00Z,hpccqqcxgdata10,app-prod400thor-prod-eastus,222403.58,,,,
2025-11-04T00:00:00Z,hpccqqcxgdata10,app-prod400thor-prod-eastus,222403.58,,,,
2025-11-04T01:00:00Z,hpccqqcxgdata10,app-prod400thor-prod-eastus,222403.59,,,,
2025-11-04T02:00:00Z,hpccqqcxgdata10,app-prod400thor-prod-eastus,222403.59,,,,
2025-11-04T03:00:00Z,hpccqqcxgdata10,app-prod400thor-prod-eastus,222403.63,,,,
2025-11-04T04:00:00Z,hpccqqcxgdata10,app-prod400thor-prod-eastus,222403.63,,,,
2025-11-04T05:00:00Z,hpccqqcxgdata10,app-prod400thor-prod-eastus,222403.48,,,,
2025-11-04T06:00:00Z,hpccqqcxgdata10,app-prod400thor-prod-eastus,222403.48,,,,
2025-11-04T07:00:00Z,hpccqqcxgdata10,app-prod400thor-prod-eastus,223865.28,,,,
2025-11-04T08:00:00Z,hpccqqcxgdata10,app-prod400thor-prod-eastus,223865.28,,,,
2025-11-04T09:00:00Z,hpccqqcxgdata10,app-prod400thor-prod-eastus,223865.34,,,,
2025-11-04T10:00:00Z,hpccqqcxgdata10,app-prod400thor-prod-eastus,223865.34,,,,
2025-11-04T11:00:00Z,hpccqqcxgdata10,app-prod400thor-prod-eastus,223865.34,,,,
2025-11-04T12:00:00Z,hpccqqcxgdata10,app-prod400thor-prod-eastus,223865.32,,,,
2025-11-04T13:00:00Z,hpccqqcxgdata10,app-prod400thor-prod-eastus,223865.32,,,,
